"분류번호","측정소명","년/월/일","회차","경도","위도","채수시각","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","SS(㎎/L)"
"3012A30","곰나루","2017/01/02","1회차","127°6'39.64""","36°28'27.75""","10:05","13.5","1.6","5.6","4.575","0.066","7.9","3.0"
"3012A40","공주2","2017/01/02","1회차","126°59'13.8""","36°20'31.3""","10:25","13.8","1.6","5.9","3.764","0.063","7.3","4.2"
"3008A40","대청댐","2017/01/02","1회차","127°28'35.5""","36°22'16.2""","14:10","10.3","0.6","4.1","1.431","0.020","3.6","1.5"
"3012A60","부여1","2017/01/02","1회차","126°53'32.8""","36°16'32.6""","10:45","14.0","1.3","5.3","3.351","0.058","4.3","4.9"
"3012A70","부여2","2017/01/02","1회차","126°56'56.1""","36°14'39.1""","11:00","13.9","1.9","7.6","4.013","0.052","3.8","7.6"
"3012A80","성동","2017/01/02","1회차","127°0'12.73""","36°10'22.52""","12:35","13.8","2.0","7.6","4.224","0.050","4.5","8.3"
"3014A30","양화","2017/01/02","1회차","126°52'24.13""","36°6'27.13""","11:30","14.5","3.2","9.0","3.843","0.076","9.1","11.7"
"3203A30","웅천천1","2017/01/02","1회차","126°40'33.41""","36°17'27.1""","11:30","12.5","1.8","3.3","2.999","0.000","0.7","3.8"
"3001A20","진안천","2017/01/02","1회차","127°27'16.4""","35°48'39.6""","14:00","12.2","1.2","3.1","3.838","0.062","1.8","4.0"
"3009A80","갑천7","2017/01/03","1회차","127°23'59.87""","36°27'13.72""","10:50","11.1","1.4","7.0","7.996","0.094","5.8","3.0"
"3302A45","고부천1","2017/01/03","1회차","126°45'35.9""","35°39'32.5""","13:45","9.1","4.8","10.2","5.159","0.336","4.8","108.0"
"3302A50","고부천2","2017/01/03","1회차","126°47'15.9""","35°43'38.9""","14:05","9.1","4.8","10.3","5.025","0.196","5.8","40.7"
"3012A20","공주1","2017/01/03","1회차","127°7'27.58""","36°27'59.19""","12:40","14.2","2.1","5.7","4.917","0.088","5.4","4.1"
"3012A32","금강","2017/01/03","1회차","127°6'.1""","36°27'52.7""","12:20","12.5","1.8","5.7","4.903","0.055","4.9","2.0"
"3301A55","김제","2017/01/03","1회차","126°57'24""","35°54'24.5""","13:00","12.0","2.8","8.8","8.497","0.107","7.2","15.3"
"3013A50","논산천4","2017/01/03","1회차","127°0'38.2""","36°9'57.3""","11:00","14.6","1.9","6.0","5.070","0.126","4.7","5.3"
"3302A40","동진강3","2017/01/03","1회차","126°49'2.7""","35°43'2.9""","11:30","13.2","1.6","6.1","5.185","0.087","4.4","9.5"
"3011A97","미호강10","2017/01/03","1회차","127°19'8.29""","36°31'29.17""","12:20","12.1","1.9","7.1","8.050","0.196","6.7","3.6"
"3303A10","백천내","2017/01/03","1회차","126°36'36.5""","35°39'17.1""","11:30","11.2","0.6","0.8","2.039","0.003","0.8","0.0"
"3011A45","보강천2","2017/01/03","1회차","127°34'20.86""","36°47'1.91""","12:54","13.4","0.8","2.8","2.110","0.026","1.5","1.4"
"3010A20","부강","2017/01/03","1회차","127°21'49.14""","36°30'59.78""","11:40","12.0","1.3","6.3","4.754","0.054","4.6","4.4"
"3012A42","부여","2017/01/03","1회차","126°56'39.9""","36°19'19.5""","11:20","13.2","2.5","7.0","4.405","0.075","5.8","4.8"
"3301A30","삼천1","2017/01/03","1회차","127°7'4.92""","35°46'21.37""","10:45","12.2","1.3","2.8","3.855","0.081","1.6","4.4"
