"분류번호","측정소명","년/월/일","회차","경도","위도","채수시각","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","SS(㎎/L)"
"3302A05","동진강1","2021/01/04","1회차","126°58'42.1""","35°36'57.9""","13:44","13.3","0.3","3.2","1.382","0.012","2.0","0.8"
"3302A10","동진강2","2021/01/04","1회차","126°52'4.23""","35°40'58.97""","14:00","14.4","0.5","3.8","2.736","0.056","2.1","9.2"
"3303A10","백천내","2021/01/04","1회차","126°36'36.5""","35°39'17.1""","14:00","10.4","0.7","2.6","1.800","0.004","0.5","0.6"
"3302A55","원평천1","2021/01/04","1회차","126°55'6.9""","35°44'48.3""","14:16","15.9","1.7","6.7","6.050","0.048","3.4","8.4"
"3012A30","곰나루","2021/01/05","1회차","127°6'39.64""","36°28'27.75""","09:45","13.3","1.2","5.6","5.413","0.025","3.2","2.1"
"3012A40","공주2","2021/01/05","1회차","126°59'13.8""","36°20'31.3""","10:15","15.5","1.3","5.7","5.447","0.024","3.3","2.3"
"3012A60","부여1","2021/01/05","1회차","126°53'32.8""","36°16'32.6""","10:35","14.4","1.5","5.5","5.045","0.023","3.0","3.5"
"3012A70","부여2","2021/01/05","1회차","126°56'56.1""","36°14'39.1""","11:05","15.0","1.5","6.1","5.338","0.023","3.3","6.9"
"3012A80","성동","2021/01/05","1회차","127°0'12.73""","36°10'22.52""","12:40","19.0","3.6","7.1","5.497","0.046","4.1","6.0"
"3014A30","양화","2021/01/05","1회차","126°52'24.13""","36°6'27.13""","11:30","17.3","3.3","7.0","5.076","0.012","3.5","7.7"
"3203A30","웅천천1","2021/01/05","1회차","126°40'33.41""","36°17'27.1""","12:30","15.6","0.5","0.8","2.516","0.004","0.5","0.2"
"3001A20","진안천","2021/01/05","1회차","127°27'16.4""","35°48'39.6""","15:07","12.8","2.3","5.8","3.548","0.058","2.6","3.2"
"3009A10","갑천1","2021/01/06","1회차","128°24'57.7""","35°6'24""","11:26","15.4","1.0","2.7","4.341","0.007","1.1","0.8"
"3009A15","갑천2","2021/01/06","1회차","127°21'29.2""","36°18'22.1""","11:00","15.6","1.1","2.7","4.000","0.006","1.5","1.4"
"3009A20","갑천3","2021/01/06","1회차","127°20'58.92""","36°21'5.4""","10:24","14.9","1.1","2.5","3.641","0.011","1.5","2.6"
"3009A25","갑천4","2021/01/06","1회차","127°22'45.9""","36°22'25.3""","10:03","15.7","1.2","2.9","3.370","0.013","1.6","2.0"
"3009A65","갑천5","2021/01/06","1회차","127°24'43.9""","36°24'17.2""","13:48","12.2","2.4","7.5","11.364","0.098","5.3","2.2"
"3009A70","갑천6","2021/01/06","1회차","127°23'31""","36°26'10.6""","14:10","12.7","2.5","7.3","10.936","0.084","5.4","1.0"
"3203A10","광천천","2021/01/06","1회차","126°38'32.28""","36°30'43.56""","14:40","14.0","3.7","11.1","19.405","0.051","7.4","6.2"
"3014A40","길산천1","2021/01/06","1회차","126°43'50.96""","36°4'28.9""","13:10","13.8","2.1","4.5","2.757","0.021","1.8","8.0"
"3009A45","대전천1","2021/01/06","1회차","127°27'23.9""","36°17'50""","11:11","13.2","1.0","2.4","4.883","0.040","1.1","0.2"
"3009A50","대전천2","2021/01/06","1회차","127°26'21.9""","36°18'54.1""","11:50","13.1","1.2","3.2","5.333","0.073","1.7","0.8"
"3009A55","대전천3","2021/01/06","1회차","127°25'31.45""","36°19'58.46""","12:19","13.4","1.5","3.6","5.649","0.102","2.2","1.6"
"3009A60","대전천4","2021/01/06","1회차","127°25'5.95""","36°20'20.66""","13:55","12.9","2.3","5.4","6.055","0.221","3.5","2.0"
"3203A20","대천천","2021/01/06","1회차","126°35'55.3""","36°20'48.1""","14:10","14.5","4.8","5.6","3.974","0.098","2.1","1.0"
"3101A20","무한천1","2021/01/06","1회차","126°47'9.54""","36°34'7.72""","11:10","13.6","2.9","4.7","3.079","0.015","1.4","27.6"
