"분류번호","측정소명","년/월/일","회차","경도","위도","채수시각","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","SS(㎎/L)"
"3009A65","갑천5","2022/01/05","1회차","127°24'43.9""","36°24'17.2""","13:08","11.2","1.8","6.7","8.714","0.084","5.0","2.2"
"3009A70","갑천6","2022/01/05","1회차","127°23'31""","36°26'10.6""","13:30","12.2","1.7","8.6","9.456","0.082","5.0","2.8"
"3301A55","김제","2022/01/05","1회차","126°57'24""","35°54'24.5""","12:30","14.1","2.0","8.5","8.841","0.086","5.7","7.6"
"3013A50","논산천4","2022/01/05","1회차","127°0'38.2""","36°9'57.3""","10:30","13.7","3.5","5.8","5.556","0.267","4.5","4.2"
"3201A10","당진천1","2022/01/05","1회차","126°37'28""","36°53'48.7""","10:50","14.1","2.0","2.9","2.998","0.026","1.3","5.6"
"3009A45","대전천1","2022/01/05","1회차","127°27'23.9""","36°17'50""","10:48","13.6","0.6","0.9","3.893","0.009","0.8","0.2"
"3009A50","대전천2","2022/01/05","1회차","127°26'21.9""","36°18'54.1""","11:23","13.5","0.9","1.8","3.780","0.016","1.4","0.4"
"3009A55","대전천3","2022/01/05","1회차","127°25'31.45""","36°19'58.46""","11:34","13.6","1.1","2.2","4.685","0.052","1.6","2.6"
"3009A60","대전천4","2022/01/05","1회차","127°25'5.95""","36°20'20.66""","11:39","13.5","1.4","2.1","4.456","0.091","2.0","1.6"
"3202A60","도당천","2022/01/05","1회차","126°31'8.76""","36°44'8.16""","13:40","13.7","1.9","2.9","4.628","0.015","1.4","1.6"
"3302A40","동진강3","2022/01/05","1회차","126°49'2.7""","35°43'2.9""","12:00","13.4","1.3","4.8","3.373","0.059","2.9","4.7"
"3202A30","둔당천","2022/01/05","1회차","126°25'48.66""","36°45'39.39""","13:10","14.1","3.9","5.6","5.336","0.083","2.5","18.6"
"3301A54","마산천","2022/01/05","1회차","126°59'59.6""","35°52'55.9""","11:50","13.1","4.6","7.6","9.279","0.176","3.4","29.3"
"3011A80","병천천2","2022/01/05","1회차","127°20'53.3""","36°38'24.6""","13:37","12.4","2.0","4.2","3.811","0.046","2.8","2.4"
"3005A27","석천","2022/01/05","1회차","127°54'45.5""","36°16'58.5""","14:55","15.3","0.6","5.6","3.731","0.005","1.6","2.1"
"3301A10","소양천1","2022/01/05","1회차","127°13'26.42""","35°51'11.74""","10:15","12.6","0.9","2.1","3.111","0.007","0.9","0.5"
"3301A15","소양천2","2022/01/05","1회차","127°9'25.45""","35°52'30.33""","11:10","13.1","1.3","2.8","5.574","0.037","1.3","1.5"
"3004A60","영동천1","2022/01/05","1회차","127°46'28""","36°10'25.9""","15:50","15.6","0.7","2.3","3.528","0.008","1.5","1.5"
"3004A70","영동천2","2022/01/05","1회차","127°43'.84""","36°12'37.44""","16:02","13.8","0.7","2.6","4.309","0.011","1.9","1.7"
"3202A80","와룡천","2022/01/05","1회차","126°32'59""","36°36'1.1""","14:10","13.4","2.1","3.0","6.248","0.033","1.7","1.0"
"3301A57","용암천","2022/01/05","1회차","126°56'20.5""","35°52'34""","12:30","13.1","5.1","13.1","18.408","0.283","6.3","24.3"
"3009A35","유등천2","2022/01/05","1회차","127°23'52.4""","36°16'38.4""","10:19","13.4","0.7","2.8","2.515","0.009","0.8","0.2"
"3009A40","유등천3","2022/01/05","1회차","127°22'53.7""","36°18'15.2""","10:09","13.2","0.6","1.5","2.425","0.010","1.0","0.2"
"3009A62","유등천7","2022/01/05","1회차","127°24'8""","36°21'25.9""","11:55","13.9","0.8","2.1","2.427","0.013","1.4","0.4"
"3202A20","장검천","2022/01/05","1회차","126°23'23.64""","36°43'16.32""","12:20","13.9","3.4","4.9","11.400","0.114","2.2","1.8"
"3008A30","주원천","2022/01/05","1회차","127°29'33.6""","36°20'31.5""","11:04","13.7","1.4","5.5","1.727","0.131","2.4","12.4"
"3202A50","청지천","2022/01/05","1회차","126°28'31.8""","36°46'4.08""","13:20","14.2","2.7","4.0","4.925","0.074","1.7","4.0"
"3005A20","초강1","2022/01/05","1회차","127°55'55.8""","36°12'20.1""","15:26","14.3","0.1","2.4","2.173","0.011","1.1","0.7"
"3005A10","추풍령천","2022/01/05","1회차","127°56'14.7""","36°13'13.7""","15:15","15.4","0.6","2.1","2.873","0.012","1.4","1.9"
"3202A10","태안천","2022/01/05","1회차","126°19'43.38""","36°44'22.91""","11:50","12.3","15.6","11.1","12.190","0.897","4.3","7.2"
"3013A20","노성천2","2022/01/06","1회차","127°5'37.04""","36°13'8.6""","13:40","13.7","2.3","2.0","3.730","0.093","1.0","2.0"
"3013A10","논산천2","2022/01/06","1회차","127°12'9.59""","36°10'28.47""","11:25","14.2","2.3","1.8","3.163","0.020","0.9","0.4"
"3013A30","논산천3","2022/01/06","1회차","127°4'49.8""","36°12'35.44""","13:20","13.8","2.4","2.1","4.004","0.096","1.1","1.4"
"3009A05","두계천","2022/01/06","1회차","127°15'13.7""","36°16'51.9""","10:50","13.4","1.6","1.9","2.036","0.026","1.0","1.0"
"3003A10","무주남대천1","2022/01/06","1회차","127°40'2.5""","36°0'23.8""","14:14","13.9","0.6","1.9","2.957","0.011","1.1","0.7"
"3003A20","무주남대천2","2022/01/06","1회차","127°37'27.9""","36°0'10.9""","14:14","13.9","0.6","1.9","2.957","0.011","1.1","0.7"
