"분류번호","측정소명","년/월/일","회차","경도","위도","채수시각","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","SS(㎎/L)"
"3006A10","옥천","2019/01/02","1회차","127°38'44.8""","36°16'59.6""","11:00","15.3","1.0","4.8","5.853","0.029","2.1","0.8"
"3008A10","옥천천","2019/01/02","1회차","127°33'17.4""","36°19'42.2""","09:40","18.1","1.9","2.8","4.670","0.030","1.0","0.4"
"3001A20","진안천","2019/01/02","1회차","127°27'16.4""","35°48'39.6""","14:00","13.0","1.4","2.3","3.045","0.025","1.5","3.2"
"3008A60","현도","2019/01/02","1회차","127°27'9.78""","36°26'56.95""","10:03","11.5","1.4","4.7","1.536","0.021","2.8","1.0"
"3012A30","곰나루","2019/01/03","1회차","127°6'39.64""","36°28'27.75""","10:28","14.8","2.4","6.0","5.764","0.059","3.8","2.3"
"3012A40","공주2","2019/01/03","1회차","126°59'13.8""","36°20'31.3""","10:49","16.1","1.9","5.7","5.300","0.044","3.5","1.6"
"3012A60","부여1","2019/01/03","1회차","126°53'32.8""","36°16'32.6""","11:20","14.7","2.3","5.7","4.797","0.044","3.7","2.5"
"3012A70","부여2","2019/01/03","1회차","126°56'56.1""","36°14'39.1""","12:43","15.4","3.4","6.6","4.838","0.050","4.0","9.5"
"3012A80","성동","2019/01/03","1회차","127°0'12.73""","36°10'22.52""","13:39","14.5","2.7","5.5","4.947","0.038","3.8","4.7"
"3302A70","신평천","2019/01/03","1회차","126°48'19.2""","35°48'3""","10:36","13.7","1.4","8.0","8.184","0.104","4.2","23.4"
"3014A30","양화","2019/01/03","1회차","126°52'24.13""","36°6'27.13""","13:08","17.8","3.8","5.9","4.446","0.060","4.1","9.7"
"3302A60","원평천2","2019/01/03","1회차","126°48'40.3""","35°46'3.2""","10:58","15.0","1.5","7.5","4.187","0.107","3.7","8.1"
"3303A10","백천내","2019/01/04","1회차","126°36'36.5""","35°39'17.1""","14:00","11.3","1.0","1.4","1.799","0.005","0.5","0.1"
"3011A90","월하천","2019/01/04","1회차","127°17'17.5""","36°34'14.4""","10:02","15.5","1.5","3.0","3.559","0.071","1.8","5.3"
"3001A10","가막","2019/01/07","1회차","127°31'4.1""","35°48'7.6""","11:10","14.1","0.7","2.8","4.666","0.014","1.4","0.9"
"3012A20","공주1","2019/01/07","1회차","127°7'27.58""","36°27'59.19""","12:10","14.1","1.5","5.9","5.808","0.047","3.8","4.1"
