"분류번호","측정소명","년/월/일","회차","경도","위도","채수시각","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","SS(㎎/L)"
"3303A10","백천내","2016/01/04","1회차","126°36'36.5""","35°39'17.1""","15:00","11.9","0.6","1.2","1.811","0.006","0.7","0.3"
"3203A30","웅천천1","2016/01/04","1회차","126°40'33.41""","36°17'27.1""","11:30","11.0","0.7","1.2","2.897","0.010","0.4","1.8"
"3001A20","진안천","2016/01/04","1회차","127°27'16.4""","35°48'39.6""","14:30","12.6","1.2","3.0","3.798","0.043","1.6","2.8"
"3009A80","갑천7","2016/01/05","1회차","127°23'59.87""","36°27'13.72""","12:40","14.5","2.1","7.1","8.653","0.053","4.9","2.9"
"3012A32","금강","2016/01/05","1회차","127°6'.1""","36°27'52.7""","12:30","14.9","1.4","5.8","5.953","0.039","4.2","4.3"
"3012A17","대교천2","2016/01/05","1회차","127°14'17.58""","36°28'26.45""","13:00","13.6","0.6","2.8","2.473","0.022","1.8","1.3"
"3008A52","대청","2016/01/05","1회차","127°28'30.32""","36°28'33.27""","09:50","10.7","0.5","2.6","1.326","0.010","2.1","0.8"
"3008A40","대청댐","2016/01/05","1회차","127°28'35.5""","36°22'16.2""","13:43","10.6","0.7","3.5","0.799","0.011","2.1","1.3"
"3012A37","목면","2016/01/05","1회차","127°0'31.9""","36°23'3.6""","13:00","15.9","2.3","6.5","5.683","0.045","4.1","5.3"
"3011A97","미호강10","2016/01/05","1회차","127°19'8.29""","36°31'29.17""","11:40","14.8","2.7","6.2","6.425","0.044","4.1","3.1"
"3010A20","부강","2016/01/05","1회차","127°21'49.14""","36°30'59.78""","10:50","14.3","1.4","6.1","7.201","0.041","4.2","2.1"
"3012A42","부여","2016/01/05","1회차","126°56'39.9""","36°19'19.5""","11:20","10.4","2.6","9.2","5.110","0.043","4.3","7.9"
"3101A45","삼용천","2016/01/05","1회차","127°9'11.04""","36°47'52.98""","11:10","13.0","4.6","5.8","4.631","0.085","2.8","1.2"
"3301A30","삼천1","2016/01/05","1회차","127°7'4.92""","35°46'21.37""","10:38","11.4","0.8","1.8","3.619","0.036","1.3","2.2"
"3301A35","삼천2","2016/01/05","1회차","127°6'43.22""","35°48'49""","10:55","12.3","1.1","3.0","3.606","0.048","1.8","10.0"
