"분류번호","측정소명","년/월/일","회차","경도","위도","채수시각","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","SS(㎎/L)"
"3301A37","삼천3","2016/01/05","1회차","127°6'21.83""","35°50'8.93""","11:05","12.3","1.6","3.1","3.543","0.067","2.2","4.0"
"3012A05","연기","2016/01/05","1회차","127°16'15.4""","36°28'40.7""","11:10","13.3","1.4","6.0","6.337","0.043","4.0","3.8"
"3006A10","옥천","2016/01/05","1회차","127°38'44.8""","36°16'59.6""","10:24","14.4","0.5","2.6","3.390","0.017","1.7","0.7"
"3101A55","온천천","2016/01/05","1회차","126°59'31.56""","36°47'45.24""","11:50","7.5","13.4","8.5","8.522","0.100","12.1","10.0"
"3012A10","용수천2","2016/01/05","1회차","127°16'25.68""","36°27'31.68""","10:20","12.5","0.5","1.8","1.661","0.009","1.3","0.4"
"3101A40","원성천","2016/01/05","1회차","127°9'11.88""","36°48'1.44""","11:13","12.0","5.2","6.4","5.998","0.261","4.1","0.4"
"3012A35","유구천","2016/01/05","1회차","127°3'4.34""","36°28'5.61""","11:20","14.2","0.5","1.6","2.857","0.009","1.0","0.7"
"3301A25","전주천1","2016/01/05","1회차","127°10'13.75""","35°48'7.28""","10:21","9.5","0.5","1.2","3.624","0.012","0.6","0.2"
"3012A53","정동","2016/01/05","1회차","126°55'23.9""","36°18'11.6""","12:30","17.3","2.9","6.6","5.107","0.041","4.3","8.8"
"3012A25","정안천","2016/01/05","1회차","127°7'32.07""","36°28'17.16""","13:10","14.3","1.2","4.5","4.849","0.032","2.9","4.5"
"3011A85","조천1","2016/01/05","1회차","127°18'20.9""","36°36'11.8""","10:30","11.4","2.3","3.8","1.823","0.014","1.4","1.6"
"3012A52","지천2","2016/01/05","1회차","126°54'48.92""","36°19'18.79""","13:30","15.7","0.6","2.9","2.899","0.015","1.6","1.2"
"3101A35","천안천1","2016/01/05","1회차","127°8'46.27""","36°47'57.12""","11:17","10.1","3.6","7.6","5.274","0.140","3.5","4.0"
"3101A50","천안천2","2016/01/05","1회차","127°6'48.36""","36°46'51.62""","11:30","10.7","7.2","10.2","11.193","0.199","5.4","3.2"
"3008A60","현도","2016/01/05","1회차","127°27'9.78""","36°26'56.95""","11:36","10.8","0.4","3.0","1.494","0.019","2.0","1.5"
"3014A10","강경","2016/01/06","1회차","127°0'23.9""","36°9'15.3""","11:00","14.5","2.4","5.8","4.813","0.080","2.7","11.4"
"3301A05","고산","2016/01/06","1회차","127°13'1.5""","35°58'27.7""","09:57","14.3","1.1","3.1","3.955","0.006","0.7","6.8"
"3012A65","금천","2016/01/06","1회차","126°53'7.52""","36°14'53.49""","14:15","14.1","0.7","3.7","2.446","0.070","2.3","17.0"
"3014A45","길산천2","2016/01/06","1회차","126°44'23.17""","36°2'41.9""","13:20","8.2","1.5","5.3","3.009","0.067","3.5","7.5"
"3301A55","김제","2016/01/06","1회차","126°57'24""","35°54'24.5""","12:10","14.2","4.5","8.4","7.244","0.098","6.0","6.2"
"3013A50","논산천4","2016/01/06","1회차","127°0'38.2""","36°9'57.3""","10:50","13.5","1.6","5.5","4.559","0.043","3.6","7.3"
"3201A10","당진천1","2016/01/06","1회차","126°37'28""","36°53'48.7""","13:15","14.5","2.6","3.4","2.410","0.015","1.7","2.4"
"3202A60","도당천","2016/01/06","1회차","126°31'8.76""","36°44'8.16""","10:59","12.5","2.5","5.6","3.335","0.012","2.6","3.6"
"3302A40","동진강3","2016/01/06","1회차","126°49'2.7""","35°43'2.9""","11:00","14.9","0.8","4.6","4.539","0.042","3.1","4.3"
"3202A30","둔당천","2016/01/06","1회차","126°25'48.66""","36°45'39.39""","11:25","12.9","3.0","6.5","6.084","0.016","2.4","2.8"
"3101A25","무한천2","2016/01/06","1회차","126°49'49.7""","36°43'59.2""","14:00","13.0","2.3","6.0","5.868","0.044","2.7","6.0"
"3011A45","보강천2","2016/01/06","1회차","127°34'20.86""","36°47'1.91""","13:27","14.1","1.6","2.8","3.673","0.079","1.6","1.6"
"3014A15","산북천","2016/01/06","1회차","126°56'32.99""","36°6'28.06""","12:15","13.9","7.2","12.9","8.543","0.442","7.6","17.4"
"3301A45","삼례","2016/01/06","1회차","127°4'3.2""","35°53'54.4""","10:30","10.4","4.8","9.2","7.132","0.077","4.1","9.3"
"3012A77","석성천3","2016/01/06","1회차","126°59'47.88""","36°12'13.96""","12:00","14.6","1.5","4.8","4.106","0.087","2.8","3.1"
"3008A10","옥천천","2016/01/06","1회차","127°33'17.4""","36°19'42.2""","11:00","14.5","1.4","2.0","4.637","0.014","0.8","1.0"
"3202A20","장검천","2016/01/06","1회차","126°23'23.64""","36°43'16.32""","11:34","12.9","2.4","5.3","5.903","0.046","2.5","3.6"
"3202A50","청지천","2016/01/06","1회차","126°28'31.8""","36°46'4.08""","11:10","14.3","5.3","6.4","4.131","0.012","3.4","3.6"
"3202A10","태안천","2016/01/06","1회차","126°19'43.38""","36°44'22.91""","11:52","13.9","2.6","5.0","8.035","0.129","2.7","2.8"
"3302A45","고부천1","2016/01/07","1회차","126°45'35.9""","35°39'32.5""","12:48","12.5","4.0","6.3","4.855","0.145","4.2","22.0"
"3302A50","고부천2","2016/01/07","1회차","126°47'15.9""","35°43'38.9""","13:07","12.4","4.6","7.0","4.475","0.105","5.3","15.7"
"3203A10","광천천","2016/01/07","1회차","126°38'32.28""","36°30'43.56""","11:55","11.6","5.6","11.7","7.660","0.128","6.6","5.2"
"3014A40","길산천1","2016/01/07","1회차","126°43'50.96""","36°4'28.9""","10:45","12.9","2.2","5.6","2.356","0.038","3.0","6.0"
"3203A20","대천천","2016/01/07","1회차","126°35'55.3""","36°20'48.1""","11:30","11.4","3.3","6.3","4.179","0.156","2.8","3.2"
"3301A54","마산천","2016/01/07","1회차","126°59'59.6""","35°52'55.9""","14:10","11.0","4.1","5.0","8.506","0.272","2.9","19.0"
"3101A20","무한천1","2016/01/07","1회차","126°47'9.54""","36°34'7.72""","13:15","12.6","2.1","2.7","2.336","0.018","1.5","0.8"
"3202A80","와룡천","2016/01/07","1회차","126°32'59""","36°36'1.1""","12:45","13.0","2.3","3.7","4.748","0.028","1.6","1.2"
"3301A57","용암천","2016/01/07","1회차","126°56'20.5""","35°52'34""","11:10","9.3","4.2","7.8","9.060","0.244","5.1","32.0"
"3302A07","용호천","2016/01/07","1회차","126°53'35.6""","35°40'47.6""","13:30","12.9","1.7","3.9","4.068","0.050","3.1","7.1"
"3302A25","정읍천1","2016/01/07","1회차","126°52'22.8""","35°33'1.9""","10:42","13.1","0.6","1.5","4.350","0.010","1.1","0.8"
"3302A30","정읍천2","2016/01/07","1회차","126°50'20.4""","35°34'12""","10:54","12.2","0.8","1.6","2.663","0.009","1.3","0.7"
"3302A33","정읍천3","2016/01/07","1회차","126°49'38.6""","35°35'2.8""","11:15","12.7","1.4","2.3","3.849","0.021","1.7","1.8"
"3302A32","천원천","2016/01/07","1회차","126°49'38.6""","35°34'15.6""","11:02","13.0","1.2","2.4","3.877","0.026","2.0","3.1"
"3203A50","판교천","2016/01/07","1회차","126°40'43.68""","36°5'30.12""","11:00","14.1","3.8","5.3","3.195","0.032","2.7","3.2"
"3008A50","품곡천","2016/01/07","1회차","127°31'32.9""","36°30'48.8""","13:24","13.9","0.3","1.2","2.149","0.020","0.6","1.0"
"3013A80","강경천","2016/01/08","1회차","127°1'29.46""","36°9'44.46""","12:48","9.4","1.4","4.8","6.770","0.209","3.4","7.1"
"3012A30","곰나루","2016/01/08","1회차","127°6'39.64""","36°28'27.75""","09:52","9.2","2.1","5.9","6.173","0.055","4.4","4.4"
"3012A20","공주1","2016/01/08","1회차","127°7'27.58""","36°27'59.19""","09:40","10.8","3.3","6.9","5.668","0.086","4.7","7.0"
"3012A40","공주2","2016/01/08","1회차","126°59'13.8""","36°20'31.3""","10:15","9.9","3.4","6.8","5.048","0.060","4.3","12.6"
"3013A20","노성천2","2016/01/08","1회차","127°5'37.04""","36°13'8.6""","11:25","13.1","2.8","1.8","2.693","0.028","1.1","2.8"
"3013A10","논산천2","2016/01/08","1회차","127°12'9.59""","36°10'28.47""","10:20","13.1","2.2","1.5","3.537","0.011","0.9","2.0"
"3013A30","논산천3","2016/01/08","1회차","127°4'49.8""","36°12'35.44""","11:20","13.0","3.0","2.4","3.372","0.048","1.5","5.2"
"3012A15","대교천1","2016/01/08","1회차","127°12'31.7""","36°29'58.8""","13:15","12.6","2.4","2.4","1.546","0.013","1.3","1.2"
"3009A05","두계천","2016/01/08","1회차","127°15'13.7""","36°16'51.9""","10:00","13.0","2.7","1.9","1.585","0.018","1.3","1.2"
"3013A70","마산천","2016/01/08","1회차","127°3'19.77""","36°7'7.14""","12:58","9.7","1.0","3.7","4.960","0.203","2.7","2.8"
"3011A60","무심천2","2016/01/08","1회차","127°29'1.82""","36°38'8.85""","12:55","14.6","1.6","2.2","3.197","0.082","1.4","1.3"
"3013A40","방축천","2016/01/08","1회차","127°3'12.67""","36°10'22.65""","11:10","12.0","3.2","5.0","6.338","0.173","2.2","4.4"
"3011A25","백곡천1","2016/01/08","1회차","127°22'47.6""","36°52'52.4""","11:11","15.6","0.3","1.8","2.721","0.010","0.9","0.2"
"3011A30","백곡천2","2016/01/08","1회차","127°27'41.39""","36°51'16.3""","11:33","14.0","0.8","1.2","2.885","0.020","0.9","1.2"
"3011A80","병천천2","2016/01/08","1회차","127°20'53.3""","36°38'24.6""","15:35","15.1","0.7","2.8","2.955","0.029","1.8","0.7"
"3012A60","부여1","2016/01/08","1회차","126°53'32.8""","36°16'32.6""","10:35","9.0","2.7","5.9","4.186","0.054","3.7","10.6"
"3012A70","부여2","2016/01/08","1회차","126°56'56.1""","36°14'39.1""","10:50","9.9","3.3","6.8","4.480","0.053","4.2","9.3"
"3012A75","석성천2","2016/01/08","1회차","127°1'52.89""","36°14'6.46""","11:35","13.1","3.4","4.4","5.339","0.165","2.4","5.2"
"3012A80","성동","2016/01/08","1회차","127°0'12.73""","36°10'22.52""","12:40","9.5","3.1","6.2","4.100","0.056","3.5","9.0"
"3013A60","수철천","2016/01/08","1회차","127°5'37.8""","36°6'3.72""","10:40","12.7","2.2","1.8","4.140","0.072","1.0","1.6"
"3014A30","양화","2016/01/08","1회차","126°52'24.13""","36°6'27.13""","11:20","9.8","3.5","6.5","4.112","0.053","4.3","7.4"
"3012A55","은산천","2016/01/08","1회차","126°52'17.5""","36°17'44.5""","12:30","12.6","2.6","2.7","2.918","0.029","1.4","7.6"
"3012A50","지천1","2016/01/08","1회차","126°51'31.9""","36°19'33.9""","12:40","13.5","3.1","3.2","2.724","0.009","1.6","2.0"
"3011A35","초평천","2016/01/08","1회차","127°31'17.6""","36°50'42.5""","11:53","15.4","0.3","1.6","2.099","0.005","0.8","0.2"
"3011A10","칠장천","2016/01/08","1회차","127°27'9.37""","36°58'16.91""","10:27","13.0","2.1","7.0","9.677","0.596","3.7","0.6"
"3101A30","곡교천1","2016/01/11","1회차","127°7'36.85""","36°45'8.02""","09:48","14.2","0.8","1.9","2.947","0.025","1.7","1.5"
"3001A05","구량천","2016/01/11","1회차","127°36'53.72""","35°52'.65""","10:45","15.1","0.6","1.9","2.893","0.006","0.9","1.3"
"3005A25","금상천","2016/01/11","1회차","127°51'28.26""","36°15'20.36""","11:00","10.8","0.6","1.5","1.484","0.005","0.8","1.6"
"3003A30","무주남대천3","2016/01/11","1회차","127°37'12.64""","36°0'9.1""","10:00","15.6","0.5","2.0","2.787","0.006","1.1","0.3"
"3007A10","보청천1","2016/01/11","1회차","127°40'39.8""","36°32'32""","10:53","13.6","0.3","1.0","3.665","0.005","0.5","0.2"
"3007A20","보청천2","2016/01/11","1회차","127°43'26.8""","36°28'54.8""","11:12","14.5","0.2","1.0","2.365","0.009","0.6","4.1"
"3008A02","상곡천","2016/01/11","1회차","127°34'3.84""","36°13'11.72""","13:00","13.8","0.5","1.2","2.904","0.002","0.6","0.2"
"3301A10","소양천1","2016/01/11","1회차","127°13'26.42""","35°51'11.74""","13:23","8.3","0.7","1.5","4.644","0.034","0.8","0.6"
"3301A15","소양천2","2016/01/11","1회차","127°9'25.45""","35°52'30.33""","12:17","10.0","0.8","2.4","5.624","0.036","1.2","1.6"
"3004A60","영동천1","2016/01/11","1회차","127°46'28""","36°10'25.9""","13:05","14.8","0.3","2.2","6.192","0.013","1.4","0.6"
"3004A70","영동천2","2016/01/11","1회차","127°43'.84""","36°12'37.44""","12:50","14.9","0.3","2.2","6.349","0.041","0.9","0.7"
"3001A30","정자천","2016/01/11","1회차","127°26'24.81""","35°51'22.74""","10:30","13.6","0.5","1.5","2.805","0.003","0.8","1.1"
"3005A20","초강1","2016/01/11","1회차","127°55'55.8""","36°12'20.1""","13:35","14.6","0.3","1.4","2.574","0.026","0.7","0.2"
"3005A10","추풍령천","2016/01/11","1회차","127°56'14.7""","36°13'13.7""","13:47","15.7","0.3","2.4","3.183","0.016","1.1","0.2"
"3008A05","추풍천","2016/01/11","1회차","127°30'35.24""","36°14'21.29""","12:50","15.6","0.5","1.7","4.324","0.010","0.9","2.2"
"3007A30","항건천","2016/01/11","1회차","127°41'17""","36°28'48.5""","10:38","14.0","0.2","1.8","3.891","0.014","0.6","0.2"
"3008A20","회인천","2016/01/11","1회차","127°25'55.5""","36°31'22.27""","10:18","15.2","0.3","1.2","3.755","0.007","0.6","0.2"
"3001A10","가막","2016/01/11","2회차","127°31'4.1""","35°48'7.6""","12:00","14.9","0.5","2.1","4.012","0.006","1.2","1.2"
"3101A60","곡교천2","2016/01/11","2회차","126°56'2.2""","36°49'17.9""","10:28","11.3","5.5","10.9","8.145","0.256","6.1","18.3"
"3012A32","금강","2016/01/11","2회차","127°6'.1""","36°27'52.7""","11:30","14.7","2.4","6.8","5.290","0.033","4.3","5.9"
"3008A40","대청댐","2016/01/11","2회차","127°28'35.5""","36°22'16.2""","14:48","11.8","0.9","3.0","0.732","0.008","2.0","1.7"
"3007A40","보청천3","2016/01/11","2회차","127°49'4.7""","36°22'36.72""","12:30","14.6","0.5","2.4","1.933","0.008","1.1","0.8"
"3004A05","부리","2016/01/11","2회차","127°35'36.86""","36°2'56.1""","11:30","14.4","0.5","2.8","1.872","0.004","1.3","0.8"
"3012A42","부여","2016/01/11","2회차","126°56'39.9""","36°19'19.5""","10:50","16.3","3.3","7.4","4.820","0.034","4.7","9.8"
"3002A40","용담","2016/01/11","2회차","127°32'7.38""","35°58'14.91""","11:50","12.6","0.5","2.7","1.453","0.005","1.5","2.1"
"3006A05","이원","2016/01/11","2회차","127°40'10.1""","36°14'25""","13:30","14.2","0.7","2.8","2.176","0.003","1.4","1.2"
"3004A40","제원2","2016/01/11","2회차","127°35'21.55""","36°6'59.03""","11:30","14.5","0.5","2.6","1.950","0.003","1.4","0.9"
"3005A30","초강2","2016/01/11","2회차","127°43'17.6""","36°13'49""","14:10","14.6","0.6","2.2","2.358","0.004","1.2","0.8"
"3011A53","무심천1","2016/01/12","1회차","127°30'6.27""","36°35'6.1""","12:30","15.0","0.8","2.4","2.041","0.041","1.8","1.0"
"3010A30","백천","2016/01/12","1회차","127°21'41.41""","36°31'33.81""","10:20","14.8","1.5","2.3","1.594","0.036","2.0","1.3"
"3011A43","보강천1","2016/01/12","1회차","127°34'49.96""","36°47'12.95""","11:30","15.3","1.7","2.9","3.039","0.040","2.2","2.2"
"3011A68","석남천","2016/01/12","1회차","127°23'17.65""","36°39'34.28""","11:30","10.8","9.9","10.3","11.285","0.048","10.1","4.0"
"3008A55","용호천","2016/01/12","1회차","127°27'8.04""","36°26'53.6""","09:20","14.5","1.0","1.7","1.912","0.019","1.5","0.2"
"3011A87","조천2","2016/01/12","1회차","127°17'58.66""","36°35'8.48""","12:00","14.7","1.0","3.6","4.342","0.038","2.8","1.9"
"3009A80","갑천7","2016/01/12","2회차","127°23'59.87""","36°27'13.72""","14:10","12.8","1.9","13.9","8.256","0.054","6.7","2.4"
"3012A30","곰나루","2016/01/12","2회차","127°6'39.64""","36°28'27.75""","09:41","11.4","3.0","6.7","5.875","0.043","6.9","6.3"
"3012A20","공주1","2016/01/12","2회차","127°7'27.58""","36°27'59.19""","09:32","13.2","2.6","6.1","5.913","0.041","7.2","3.8"
"3012A40","공주2","2016/01/12","2회차","126°59'13.8""","36°20'31.3""","10:02","11.7","4.0","6.9","5.571","0.045","6.2","9.3"
"3008A52","대청","2016/01/12","2회차","127°28'30.32""","36°28'33.27""","10:30","11.0","0.5","2.8","1.487","0.005","2.2","1.0"
"3011A65","무심천3","2016/01/12","2회차","127°27'16.1""","36°40'30.8""","10:30","14.8","1.8","5.2","2.008","0.052","2.7","5.8"
"3011A97","미호강10","2016/01/12","2회차","127°19'8.29""","36°31'29.17""","14:30","13.4","2.8","6.8","5.606","0.038","4.9","2.3"
"3011A40","미호강5","2016/01/12","2회차","127°30'34.8""","36°46'19.7""","14:00","17.5","1.6","6.4","3.735","0.040","3.1","2.9"
"3011A84","미호강9","2016/01/12","2회차","127°18'59.57""","36°34'55.88""","12:40","13.1","4.3","7.7","5.942","0.048","4.9","1.6"
"3011A78","병천천1","2016/01/12","2회차","127°19'33.72""","36°43'27.09""","10:30","14.1","3.0","7.0","4.182","0.084","3.8","1.5"
"3010A20","부강","2016/01/12","2회차","127°21'49.14""","36°30'59.78""","11:20","13.7","1.5","6.4","5.988","0.038","4.9","1.3"
"3012A60","부여1","2016/01/12","2회차","126°53'32.8""","36°16'32.6""","10:22","11.0","3.5","6.3","5.148","0.048","6.2","12.0"
"3012A70","부여2","2016/01/12","2회차","126°56'56.1""","36°14'39.1""","10:37","11.0","3.8","7.3","4.855","0.052","6.0","10.9"
"3012A80","성동","2016/01/12","2회차","127°0'12.73""","36°10'22.52""","12:16","10.9","3.2","6.9","4.491","0.044","6.4","8.8"
"3010A15","세종1","2016/01/12","2회차","127°23'23.41""","36°29'44.91""","14:00","13.9","3.2","6.5","5.885","0.046","4.5","1.2"
"3014A30","양화","2016/01/12","2회차","126°52'24.13""","36°6'27.13""","11:04","11.0","3.9","6.6","4.465","0.046","5.8","7.7"
"3009A30","유등천1","2016/01/12","2회차","127°22'20.25""","36°14'58.74""","10:10","14.0","1.3","2.8","2.671","0.004","1.5","0.1"
"3009A10","갑천1","2016/01/13","1회차","128°24'57.7""","35°6'24""","10:30","13.6","0.7","2.3","3.015","0.052","1.9","1.4"
"3009A15","갑천2","2016/01/13","1회차","127°21'29.2""","36°18'22.1""","10:15","14.5","0.7","1.9","2.478","0.027","1.6","1.0"
"3009A20","갑천3","2016/01/13","1회차","127°20'58.92""","36°21'5.4""","09:50","13.5","0.8","2.1","3.000","0.041","1.6","1.4"
"3009A25","갑천4","2016/01/13","1회차","127°22'45.9""","36°22'25.3""","09:30","13.6","1.0","2.2","3.067","0.039","1.7","1.2"
"3009A65","갑천5","2016/01/13","1회차","127°24'43.9""","36°24'17.2""","11:30","10.2","2.3","6.8","9.231","0.156","4.7","2.4"
"3009A70","갑천6","2016/01/13","1회차","127°23'31""","36°26'10.6""","12:45","12.7","2.1","6.5","9.140","0.100","4.7","2.2"
"3009A45","대전천1","2016/01/13","1회차","127°27'23.9""","36°17'50""","11:30","14.3","0.9","1.7","3.678","0.026","1.6","0.7"
"3009A50","대전천2","2016/01/13","1회차","127°26'21.9""","36°18'54.1""","12:05","15.0","1.0","1.8","4.257","0.034","1.5","2.6"
"3009A55","대전천3","2016/01/13","1회차","127°25'31.45""","36°19'58.46""","13:10","13.8","1.0","2.3","4.176","0.058","1.5","3.1"
"3009A60","대전천4","2016/01/13","1회차","127°25'5.95""","36°20'20.66""","13:20","14.6","1.3","1.8","3.013","0.093","1.7","4.8"
"3011A05","미호강1","2016/01/13","1회차","127°30'1.94""","36°58'50.02""","12:50","13.2","7.7","8.5","5.137","0.139","9.6","4.1"
"3011A15","미호강2","2016/01/13","1회차","127°27'41.89""","36°56'10.41""","10:00","14.0","2.7","5.9","5.399","0.109","3.1","3.0"
"3011A20","미호강3","2016/01/13","1회차","127°30'12.6""","36°50'44.1""","11:25","12.8","4.0","5.7","5.350","0.100","6.2","5.3"
"3011A32","미호강4","2016/01/13","1회차","127°29'36""","36°49'33.4""","11:35","12.0","1.9","4.8","4.942","0.070","5.4","2.4"
"3011A50","미호강6","2016/01/13","1회차","127°28'32.3""","36°42'50.4""","10:55","12.3","1.2","4.4","4.452","0.058","5.2","1.9"
"3011A70","미호강7","2016/01/13","1회차","127°22'58.9""","36°39'30.1""","10:25","12.0","1.4","4.8","6.091","0.093","6.1","2.7"
"3011A82","미호강8","2016/01/13","1회차","127°21'2.58""","36°37'22.73""","10:05","12.2","4.2","6.8","5.022","0.068","9.1","16.0"
"3012A73","석성천1","2016/01/13","1회차","127°4'2.08""","36°15'40.69""","14:50","15.2","1.5","3.3","3.781","0.029","1.6","3.1"
"3011A48","성암천","2016/01/13","1회차","127°27'39.63""","36°44'42.04""","11:50","15.4","1.3","3.0","2.952","0.026","1.5","2.4"
"3011A79","용두천","2016/01/13","1회차","127°23'50.27""","36°45'28.08""","12:40","13.7","2.4","5.2","7.123","0.089","2.4","3.4"
"3012A08","용수천1","2016/01/13","1회차","127°16'30.81""","36°25'40.22""","10:00","15.8","0.4","2.0","2.164","0.015","0.9","0.3"
"3011A90","월하천","2016/01/13","1회차","127°17'17.5""","36°34'14.4""","09:55","13.3","0.4","2.1","2.903","0.051","2.7","2.9"
"3009A35","유등천2","2016/01/13","1회차","127°23'52.4""","36°16'38.4""","10:55","14.1","0.5","1.3","2.916","0.031","1.2","0.7"
"3009A40","유등천3","2016/01/13","1회차","127°22'53.7""","36°18'15.2""","10:40","14.3","0.8","1.7","3.157","0.028","1.4","0.5"
"3009A62","유등천7","2016/01/13","1회차","127°24'8""","36°21'25.9""","10:00","13.5","0.9","1.7","3.241","0.045","1.4","0.4"
"3008A30","주원천","2016/01/13","1회차","127°29'33.6""","36°20'31.5""","11:50","14.1","0.5","1.6","1.330","0.091","1.2","0.5"
"3011A17","한천","2016/01/13","1회차","127°30'18.88""","36°54'42.61""","10:50","15.9","3.2","6.0","6.770","0.346","3.3","5.8"
"3014A10","강경","2016/01/13","2회차","127°0'23.9""","36°9'15.3""","12:20","15.2","3.3","8.0","4.459","0.056","3.5","12.3"
"3014A50","금강갑문","2016/01/13","2회차","126°45'10.9""","36°0'52.4""","14:00","13.8","2.2","6.4","3.669","0.038","3.0","4.9"
"3012A65","금천","2016/01/13","2회차","126°53'7.52""","36°14'53.49""","12:50","14.9","0.6","4.0","2.500","0.057","1.6","7.7"
"3014A45","길산천2","2016/01/13","2회차","126°44'23.17""","36°2'41.9""","14:40","13.8","2.0","9.0","2.621","0.072","3.5","7.2"
"3013A50","논산천4","2016/01/13","2회차","127°0'38.2""","36°9'57.3""","11:40","15.9","1.7","5.0","5.462","0.138","2.2","8.6"
"3012A17","대교천2","2016/01/13","2회차","127°14'17.58""","36°28'26.45""","12:30","15.7","0.8","4.0","2.706","0.034","1.6","1.2"
"3012A37","목면","2016/01/13","2회차","127°0'31.9""","36°23'3.6""","14:00","17.4","3.5","6.8","6.446","0.046","3.8","7.4"
"3014A15","산북천","2016/01/13","2회차","126°56'32.99""","36°6'28.06""","13:20","10.6","7.9","28.2","12.381","1.140","8.5","26.5"
"3012A77","석성천3","2016/01/13","2회차","126°59'47.88""","36°12'13.96""","13:50","15.6","2.3","5.5","5.432","0.119","3.3","3.4"
"3012A19","세종2","2016/01/13","2회차","127°11'46""","36°26'29.98""","11:50","14.7","1.9","7.0","7.724","0.048","4.0","2.6"
"3012A05","연기","2016/01/13","2회차","127°16'15.4""","36°28'40.7""","10:30","14.1","1.8","10.5","7.311","0.050","4.0","2.0"
"3012A10","용수천2","2016/01/13","2회차","127°16'25.68""","36°27'31.68""","11:00","15.3","0.5","2.7","1.672","0.013","1.1","1.1"
"3012A35","유구천","2016/01/13","2회차","127°3'4.34""","36°28'5.61""","15:00","15.2","0.7","3.1","2.649","0.013","0.8","1.0"
"3012A53","정동","2016/01/13","2회차","126°55'23.9""","36°18'11.6""","15:00","16.6","4.1","8.8","5.724","0.048","4.5","11.5"
"3012A25","정안천","2016/01/13","2회차","127°7'32.07""","36°28'17.16""","14:00","15.5","1.7","6.9","4.695","0.041","2.7","6.3"
"3012A52","지천2","2016/01/13","2회차","126°54'48.92""","36°19'18.79""","11:30","14.4","0.7","2.4","2.613","0.018","1.4","1.6"
"3013A17","노성천1","2016/01/14","1회차","127°8'21.07""","36°18'35.24""","10:50","14.8","0.4","2.1","2.331","0.018","0.9","1.8"
"3013A05","논산천1","2016/01/14","1회차","127°15'31.02""","36°7'11.05""","12:00","14.3","0.6","1.3","2.089","0.011","0.6","0.1"
"3013A15","연산천","2016/01/14","1회차","127°13'38.95""","36°14'44.46""","10:00","13.2","0.5","2.2","2.208","0.018","0.9","2.6"
"3302A52","고부천3","2016/01/14","2회차","126°46'46.16""","35°44'27.67""","12:40","14.0","2.7","8.5","4.376","0.102","4.8","21.4"
"3301A55","김제","2016/01/14","2회차","126°57'24""","35°54'24.5""","14:20","12.6","3.2","9.2","6.668","0.090","6.3","6.0"
"3302A40","동진강3","2016/01/14","2회차","126°49'2.7""","35°43'2.9""","14:00","14.5","1.8","6.2","4.038","0.051","3.5","5.6"
"3006A10","옥천","2016/01/14","2회차","127°38'44.8""","36°16'59.6""","10:29","16.8","0.4","2.5","2.972","0.012","3.0","0.7"
