"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Azerbaijan","AZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5260","5330","4150","3230","2610","2310","2360","2520","2790","3120","3320","3680","4030","4480","4860","5970","8140","10020","11640","12940","13800","13790","15090","16410","17060","14590","13660","13770","14550","16030","15070","19690","21020","22640",
"Burundi","BDI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600","640","650","640","630","550","520","520","540","530","540","530","550","530","550","560","590","610","620","610","630","640","660","710","740","820","800","790","780","810","820","870","920","950",
"Belgium","BEL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18730","19720","20390","20800","22030","22920","23270","24310","24960","26030","28500","29340","30810","31530","32510","33590","35770","37310","38800","38450","40440","41010","43270","44750","45870","46850","49060","50900","53000","57170","56330","62770","69310","71990",
"Benin","BEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200","1260","1270","1330","1330","1420","1470","1540","1580","1640","1720","1800","1850","1890","1970","2010","2080","2200","2290","2290","2290","2350","2420","2590","2760","2810","2930","2960","3040","3230","3320","3560","3920","4220",
"Burkina Faso","BFA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","570","620","620","640","650","680","760","800","840","890","900","950","970","1030","1070","1160","1250","1290","1350","1350","1410","1470","1540","1600","1590","1620","1800","1970","2010","2130","2290","2350","2510","2610",
"Bangladesh","BGD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","990","1040","1110","1170","1220","1280","1340","1400","1470","1530","1620","1700","1780","1860","1990","2150","2360","2580","2790","2930","3100","3330","3750","4000","4250","4480","4820","5060","5700","6270","6870","7750","8690","9430",
"Bulgaria","BGR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6950","6480","6800","6900","7190","7560","6630","5570","6060","5730","6270","6970","8100","8550","9310","10320","11130","11880","13650","13730","14640","15250","16110","16280","17460","17820","19450","20980","22260","24800","24850","28240","34300","37380",
"Bahrain","BHR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23820","26190","26680","28490","27890","29640","30620","30100","31310","31700","38390","38750","38910","40990","42090","43630","44710","46740","46360","41820","43510","43420","52080","51830","49720","43560","43030","46540","47440","50570","47790","50850","57970","60090",
"Bahamas, The","BHS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19890","19290","18920","18840","19450","22450","24580","21500","22280","24140","25320","26020","26870","26790","27430","28770","29890","30700","30570","28830","28980","29380","29770","28760","29550","29780","29800","31510","31630","32890","24100","27240","31920","33790",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","890","830","840","910","1120","1340","2100","2870","4060","4340","4520","4650","5050","5150","5910","6210","7090","7930","8910","9030","9240","9840","10190","10930","11240","11900","12890","13470","14720","16330","16180","18160","20760","22790",
"Belarus","BLR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5230","5340","4920","4650","4190","3850","4050","4600","5060","5340","5780","6220","6690","7380","8490","9670","10970","12220","13720","13740","15050","16380","17710","18350","18470","17360","16990","17720","19300","21640","23860","26600","27280","29640",
"Belize","BLZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4390","4970","5580","5920","5870","5920","5890","6060","6100","6500","7180","7380","7680","8200","8420","8670","9060","9200","8950","9130","8870","9080","8570","8830","8730","9040","8870","8580","8830","9720","9270","11190","12660","13710",
"Bermuda","BMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72190","71790","70940","73180","72880","76530","81280","88780","88650","92510","88330","97550","112650","",
